CustomerID,Recency,Frequency,MonetaryValue,Recency_log,Frequency_log,Monetary_log,Cluster,Cluster_Name
12346,125,1,77183.6,4.836281906951478,0.6931471805599453,11.253955234248428,2,Occasional Shoppers
12347,46,3,1823.43,3.8501476017100575,1.3862943611198906,7.509022888464681,2,Occasional Shoppers
12348,48,3,1487.24,3.8918202981106265,1.3862943611198906,7.305349492709732,2,Occasional Shoppers
12350,109,1,334.40000000000003,4.700480365792417,0.6931471805599453,5.815323849389109,0,Inactive
12352,61,5,1561.81,4.127134385045092,1.791759469228055,7.354240761931879,2,Occasional Shoppers
12353,3,1,89.0,1.3862943611198906,0.6931471805599453,4.499809670330265,3,Emerging Loyal
12354,32,1,1079.4,3.49650756146648,0.6931471805599453,6.985086621918461,2,Occasional Shoppers
12355,14,1,459.4,2.70805020110221,0.6931471805599453,6.132095676847728,3,Emerging Loyal
12356,45,2,2753.08,3.828641396489095,1.0986122886681098,7.920838727523195,2,Occasional Shoppers
12359,104,2,2386.41,4.653960350157523,1.0986122886681098,7.777964375309282,2,Occasional Shoppers
12361,87,1,189.9,4.477336814478207,0.6931471805599453,5.251749730731702,0,Inactive
12362,25,2,974.34,3.258096538021482,1.0986122886681098,6.8827861281585925,2,Occasional Shoppers
12363,42,1,299.1,3.7612001156935615,0.6931471805599453,5.704115752446321,0,Inactive
12365,91,2,641.38,4.5217885770490405,1.0986122886681098,6.465180028897591,2,Occasional Shoppers
12370,74,3,2802.66,4.31748811353631,1.3862943611198906,7.938680985452955,2,Occasional Shoppers
12372,12,2,914.92,2.5649493574615367,1.0986122886681098,6.819929024615557,3,Emerging Loyal
12373,111,1,364.6,4.718498871295094,0.6931471805599453,5.901539839579995,0,Inactive
12377,114,2,1628.12,4.74493212836325,1.0986122886681098,7.395795270713971,2,Occasional Shoppers
12383,38,4,1751.11,3.6635616461296463,1.6094379124341005,7.468576054913544,2,Occasional Shoppers
12386,137,2,401.9,4.927253685157205,1.0986122886681098,5.998688392197302,0,Inactive
12388,74,3,766.25,4.31748811353631,1.3862943611198906,6.642812693499845,2,Occasional Shoppers
12393,45,3,1061.1,3.828641396489095,1.3862943611198906,6.968003359327494,2,Occasional Shoppers
12394,17,1,381.08,2.8903717578961645,0.6931471805599453,5.945630010764183,3,Emerging Loyal
12395,11,6,1569.72,2.4849066497880004,1.9459101490553128,7.359289391944212,1,High-Value Loyal
12399,13,2,768.9499999999999,2.6390573296152584,1.0986122886681098,6.646325577674422,3,Emerging Loyal
12401,103,1,84.3,4.6443908991413725,0.6931471805599453,4.446174454497633,0,Inactive
12402,123,1,225.6,4.820281565605037,0.6931471805599453,5.423186348593906,0,Inactive
